"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SAMMAANCAP","EQ","08-Jan-2025","159.59","161.00","161.36","156.29","158.33","159.15","158.84","45,90,369","72,91,26,628.19","37,037","18,22,633","39.71"
"SAMMAANCAP","EQ","09-Jan-2025","159.15","159.15","159.27","153.36","156.10","156.01","155.69","47,50,347","73,95,87,274.30","32,246","24,62,807","51.84"
"SAMMAANCAP","EQ","10-Jan-2025","156.01","155.00","155.52","148.15","149.50","149.71","152.43","53,74,255","81,91,89,864.20","33,931","27,58,753","51.33"
"SAMMAANCAP","EQ","13-Jan-2025","149.71","149.69","150.68","139.40","140.69","141.57","145.84","76,39,874","1,11,41,98,565.98","1,23,685","42,31,939","55.39"
"SAMMAANCAP","EQ","14-Jan-2025","141.57","142.00","144.64","141.73","143.13","142.94","143.04","54,02,611","77,27,79,206.64","74,605","32,06,007","59.34"
"SAMMAANCAP","EQ","15-Jan-2025","142.94","144.40","146.01","141.80","142.70","142.71","143.93","34,48,244","49,62,93,777.93","52,993","16,83,240","48.81"
"SAMMAANCAP","EQ","16-Jan-2025","142.71","144.00","155.99","144.00","154.58","155.01","151.36","92,22,705","1,39,59,72,738.80","62,690","30,03,790","32.57"
"SAMMAANCAP","EQ","17-Jan-2025","155.01","152.99","160.25","152.47","158.20","159.17","157.78","77,23,327","1,21,85,84,694.03","57,738","29,14,238","37.73"
"SAMMAANCAP","EQ","20-Jan-2025","159.17","159.25","160.00","156.22","156.70","157.64","157.90","28,05,977","44,30,52,911.90","27,481","10,39,791","37.06"
"SAMMAANCAP","EQ","21-Jan-2025","157.64","157.65","164.30","157.55","162.20","160.91","161.10","96,64,303","1,55,69,15,600.19","71,591","38,39,699","39.73"
"SAMMAANCAP","EQ","22-Jan-2025","160.91","162.52","163.90","158.57","161.29","161.71","161.32","1,06,55,660","1,71,89,43,206.21","59,343","57,86,044","54.30"
"SAMMAANCAP","EQ","23-Jan-2025","161.71","158.95","159.12","154.71","157.35","157.19","157.07","79,40,315","1,24,72,19,622.85","41,182","44,07,029","55.50"
"SAMMAANCAP","EQ","24-Jan-2025","157.19","159.80","159.82","154.00","154.44","154.86","157.15","81,05,927","1,27,38,53,740.83","39,319","44,45,408","54.84"
"SAMMAANCAP","EQ","27-Jan-2025","154.86","153.75","153.75","142.05","143.03","143.29","145.92","96,10,285","1,40,22,87,079.65","55,534","46,60,782","48.50"
"SAMMAANCAP","EQ","28-Jan-2025","143.29","145.54","148.83","140.56","146.70","146.58","145.09","86,18,313","1,25,04,00,426.52","61,845","31,41,178","36.45"
"SAMMAANCAP","EQ","29-Jan-2025","146.58","147.10","148.00","144.59","146.05","145.94","146.14","43,69,677","63,85,75,317.62","30,929","20,58,031","47.10"
"SAMMAANCAP","EQ","30-Jan-2025","145.94","146.00","146.68","140.10","140.43","140.87","142.81","61,36,766","87,63,79,578.63","42,951","33,73,694","54.98"
"SAMMAANCAP","EQ","31-Jan-2025","140.87","141.50","142.23","139.20","140.64","140.70","140.55","58,08,661","81,63,85,826.92","48,060","28,52,476","49.11"
"SAMMAANCAP","EQ","01-Feb-2025","140.70","141.50","146.14","141.49","142.50","142.77","143.70","35,69,804","51,29,95,881.29","31,054","13,11,107","36.73"
"SAMMAANCAP","EQ","03-Feb-2025","142.77","141.00","141.00","136.48","136.99","137.63","137.97","43,35,548","59,81,72,619.21","35,324","22,24,412","51.31"
"SAMMAANCAP","EQ","04-Feb-2025","137.63","140.09","142.00","136.66","140.55","141.29","139.64","73,59,868","1,02,77,28,796.33","50,042","35,56,803","48.33"
"SAMMAANCAP","EQ","05-Feb-2025","141.29","141.50","144.99","140.21","141.17","140.89","142.90","77,08,153","1,10,14,57,215.82","58,101","48,44,994","62.86"
"SAMMAANCAP","EQ","06-Feb-2025","140.89","142.00","149.80","141.47","148.50","147.86","145.90","80,00,023","1,16,71,72,791.40","56,485","44,43,560","55.54"
"SAMMAANCAP","EQ","07-Feb-2025","147.86","148.00","152.60","145.71","148.92","149.24","149.11","74,19,598","1,10,63,25,640.47","57,980","31,13,286","41.96"
"SAMMAANCAP","EQ","10-Feb-2025","149.24","149.20","149.85","142.15","142.65","143.09","144.11","47,13,666","67,92,82,561.77","48,826","22,11,331","46.91"
"SAMMAANCAP","EQ","11-Feb-2025","143.09","143.00","143.27","133.60","136.00","136.23","138.29","65,69,901","90,85,47,966.62","42,685","36,05,536","54.88"
"SAMMAANCAP","EQ","12-Feb-2025","136.23","136.60","136.60","120.20","125.30","125.32","126.17","1,99,13,320","2,51,24,40,575.11","1,34,162","81,72,432","41.04"
